Subject_ID,Group,Trial_Num,Segment_Num,N_Points,Duration_s,Peak_Velocity,Mean_Velocity,N_Submovements,SPARC
03,Aged_Control,1,58,105,3.12,1600.7810593582096,170.99388477377914,4,-1.5306795805326727
03,Aged_Control,1,59,129,3.84,1184.3892002959901,150.54141745003227,10,-1.555870131302509
03,Aged_Control,1,60,85,2.52,1766.7452812697384,231.79116850970715,5,-1.6235749949022753
03,Aged_Control,1,61,68,2.01,1151.9307463751652,210.8713042561255,4,-1.4558961259319463
03,Aged_Control,1,62,74,2.19,1207.3846850849927,202.68530545088655,4,-1.6631383520736143
03,Aged_Control,1,63,70,2.07,1146.9767022723488,202.1778214693568,5,-1.7159617661709907
03,Aged_Control,1,64,62,1.83,1178.7469806724598,226.2473918147716,4,-1.6428199553193255
03,Aged_Control,1,65,65,1.92,1286.0361149240273,210.0584401127884,2,-1.618661099553238
03,Aged_Control,1,66,68,2.28,1502.313031443327,248.83735580270454,6,-1.635260845606946
03,Aged_Control,1,67,77,2.28,887.568463712957,184.40295413141703,7,-1.6278543176638434
03,Aged_Control,1,68,65,1.92,1171.5374513859967,204.27141267823401,6,-1.6298424224789059
03,Aged_Control,1,69,72,2.13,883.4905520465702,190.47718841217485,6,-1.5016799561430783
03,Aged_Control,1,70,65,1.92,1352.5695710182301,236.31391281994286,5,-1.6095190820785001
03,Aged_Control,1,71,72,2.13,950.1461875826132,191.0808968061625,5,-1.7100420429822534
03,Aged_Control,1,72,66,1.95,1267.6531246537643,217.56940642570441,6,-1.4840872035027244
03,Aged_Control,1,73,76,2.25,1134.925352415549,187.04172255342814,6,-1.7145841620824243
03,Aged_Control,1,74,82,2.43,992.4716620639631,165.92302261020853,4,-1.7007662011007216
03,Aged_Control,1,75,80,2.37,1067.1873729054778,167.0689340928382,5,-1.6161411483878465
03,Aged_Control,1,76,69,2.04,867.3074554171786,193.47237648256012,4,-1.7500319009931147
03,Aged_Control,1,77,73,2.16,981.6369548418164,185.37570866132322,5,-1.6836922633607299
03,Aged_Control,1,78,74,2.19,1299.4611757684704,192.8653315047375,7,-1.6384245172186684
03,Aged_Control,1,79,88,2.61,986.8580895391649,165.61788255311828,6,-1.7120624184259143
03,Aged_Control,1,80,69,2.04,1300.0000000000018,214.01233276253708,4,-1.713975305258589
03,Aged_Control,1,81,101,3.0,1106.1695670696747,145.5821753629138,6,-1.637726362541176
03,Aged_Control,1,82,116,3.45,1073.0279068546574,135.57001264476196,9,-1.3839485570139747
03,Aged_Control,1,83,130,3.87,1108.803158565326,114.98095063899706,7,-1.791640540688641
03,Aged_Control,1,84,113,3.36,966.8103341515438,121.2718673035032,9,-1.4257998283934405
03,Aged_Control,1,85,126,3.75,759.0198357823801,112.26548238313949,8,-1.6606199362731324
03,Aged_Control,1,86,117,3.48,608.2762530298207,115.8283718303761,16,-1.4854258976345251
03,Aged_Control,1,87,113,3.36,1167.2617529928739,123.67921847139506,6,-1.7916495108225656
03,Aged_Control,1,88,105,3.12,909.3648577135831,128.96480402266351,8,-1.6523149494705658
03,Aged_Control,1,89,176,5.25,603.6923425424926,80.55248417387415,15,-1.9623881910821106
03,Aged_Control,1,90,100,2.97,1086.5337342004457,142.160701107073,4,-1.4943140778540518
01,Young_Control,1,1,59,1.74,2860.943900183997,443.58072505138585,4,-1.8545279726776456
01,Young_Control,1,2,58,1.71,4761.448192397865,510.34460522936166,3,-1.3896328502594915
01,Young_Control,1,3,59,1.74,3020.1177313328562,415.47293460543773,3,-1.5383809110733198
01,Young_Control,1,4,57,1.68,3655.475345286849,458.10581063053854,3,-1.4976379681104741
01,Young_Control,1,5,51,1.5,3900.1424475410013,491.017734827912,3,-1.381541720755142
01,Young_Control,1,6,51,1.5,3936.1924636774434,468.40271340082126,2,-1.3949873665202306
01,Young_Control,1,7,71,2.1,4249.084868794955,355.2897429418168,2,-1.485277407214102
01,Young_Control,1,8,51,1.5,3925.309612700068,496.05558368082797,1,-1.4070679206445345
01,Young_Control,1,9,60,1.77,4535.814272113783,437.2406297132209,2,-1.4517866083505138
01,Young_Control,1,10,66,1.949,5483.738586848293,542.0907472684625,4,-1.7268579310291532
01,Young_Control,1,11,67,1.98,4139.914116124742,405.81139510227916,3,-1.7497777627099524
01,Young_Control,1,12,65,1.92,4259.433973872324,448.80819423599684,2,-1.3830475544767071
01,Young_Control,1,13,69,2.04,3147.1768654179928,385.35254322021837,4,-1.5864982851208271
01,Young_Control,1,14,60,1.77,3807.157002862431,445.1454140433212,1,-1.383204793026817
01,Young_Control,1,15,69,2.04,4288.000051824213,451.05508619134577,3,-1.4141858399752683
01,Young_Control,1,16,59,1.74,3383.7027712913027,411.2962425193863,1,-1.3813334982951344
01,Young_Control,1,17,65,1.92,4136.725758374611,409.4337376424271,2,-1.3943161582340253
01,Young_Control,1,18,51,1.5,4019.1555221353547,469.84109552386064,1,-1.3901423405600877
01,Young_Control,1,19,55,1.62,3983.8911743280437,436.9919451325523,2,-1.3759644480367497
01,Young_Control,1,20,57,1.68,4856.439024635231,456.9773962378205,3,-1.3788905249962098
01,Young_Control,1,21,67,1.98,3806.1718884522847,410.7883704840011,3,-1.6542505779300032
01,Young_Control,1,22,70,2.07,4172.296197006579,437.85563516162114,2,-1.5057055750459185
01,Young_Control,1,23,66,1.95,3300.042087273703,375.33754312148005,2,-1.4712063280059862
01,Young_Control,1,24,75,2.22,3948.5932797502574,356.2543694556389,2,-1.3881505451521992
01,Young_Control,1,25,67,1.98,3567.2117963473916,425.60289189770225,2,-1.5646744517980762
01,Young_Control,1,26,62,1.83,3656.4250907743817,391.0906135822415,1,-1.3841639940624457
01,Young_Control,1,27,64,1.89,4254.83385235089,430.14606805405367,2,-1.5018986263469614
01,Young_Control,1,28,67,1.98,3975.5153404586713,395.96143905594266,2,-1.4030564447151472
01,Young_Control,1,29,70,2.07,3701.538719085469,359.1813740966166,2,-1.4205644484487618
01,Young_Control,1,30,62,1.83,4200.52906720623,403.50978340747747,3,-1.394211551421234
01,Young_Control,1,31,60,1.77,3686.9891359873695,356.02749870895894,3,-1.4497849145597552
01,Young_Control,1,32,56,1.65,3278.9310588801463,384.24756845604094,2,-1.449972285198446
01,Young_Control,1,33,59,1.74,2216.729322422765,298.5612740047119,3,-1.460799877006328
01,Young_Control,1,34,49,1.44,2936.3620727393645,378.85114607150615,3,-1.5217526212346266
01,Young_Control,1,35,57,1.68,3000.4166377355004,305.7176873275667,1,-1.4386982145140288
01,Young_Control,1,36,47,1.38,3300.0420872737036,396.2436197682559,1,-1.5038023858117062
01,Young_Control,1,37,52,1.53,2510.920592576002,342.873406051506,3,-1.5583322181952453
01,Young_Control,1,38,48,1.41,3322.6913455477275,364.24555737980376,2,-1.386293587343837
01,Young_Control,1,39,47,1.38,3218.2206954223075,367.9014341229833,1,-1.3843215407669316
01,Young_Control,1,40,44,1.29,3737.05171967897,427.6359983885843,2,-1.414252430525461
01,Young_Control,1,41,129,3.84,3126.3219426170576,401.5539917251101,9,-5.959478763855534
01,Young_Control,1,42,54,1.59,3238.526756961497,366.9625145587263,2,-1.386101238772734
01,Young_Control,1,43,59,1.74,2778.538784645228,302.82658232073254,2,-1.4793084530100749
01,Young_Control,1,44,57,1.68,3111.716210996398,325.3412481324964,3,-1.3913420370139336
01,Young_Control,1,45,61,1.8,3019.6118219989057,321.3139036829879,3,-1.5061490972618268
01,Young_Control,1,46,58,1.71,3331.7496237796076,356.9941000674176,4,-1.5026770989426441
01,Young_Control,1,47,51,1.5,2595.134336064747,344.0928486115025,1,-1.4188629207364416
01,Young_Control,1,48,49,1.44,3120.18517968975,356.2070687014631,1,-1.3897922076214897
01,Young_Control,1,49,62,1.83,2835.0974899953267,304.45329842272525,4,-1.4913809266282554
01,Young_Control,1,50,65,1.92,3289.419063874012,298.9006153731408,3,-1.4120517083954067
01,Young_Control,1,51,59,1.74,3403.1439712255624,364.6040518702774,2,-1.4448597770595042
01,Young_Control,1,52,64,1.89,3587.207208338481,310.82556936895173,2,-1.3772790179561458
01,Young_Control,1,53,116,3.45,2071.298572822802,156.779295857646,2,-1.4877913433115677
01,Young_Control,1,54,75,2.22,2735.0604299641277,243.35436062721328,4,-1.3884978033644677
01,Young_Control,1,55,87,2.58,2441.5386769639967,227.3873056551386,2,-1.4988707192078732
01,Young_Control,1,56,78,2.31,2769.1254134754463,260.80954245173797,3,-1.440261308525903
01,Young_Control,1,57,77,2.28,1941.9348884839364,236.9977881006504,4,-1.4152509744510748
01,Young_Control,1,58,67,1.98,2558.7540370700376,260.78559001027554,2,-1.4987220023787424
01,Young_Control,1,59,68,2.01,2794.538324024995,294.7771327492703,5,-1.6223082948855887
01,Young_Control,1,60,67,1.98,4000.0347220715194,320.27492739569607,3,-1.413437913565693
01,Young_Control,1,61,74,2.19,2732.6218586226328,213.09142198134705,3,-1.6236831007858137
01,Young_Control,1,62,50,1.47,2242.2706745122864,266.10308987795855,1,-1.3975367724836034
01,Young_Control,1,63,69,2.04,2146.0558137093153,204.05147866763429,2,-1.4245363354399871
01,Young_Control,1,64,54,1.59,2021.0695738203144,233.44675696044882,3,-1.3780923068084534
01,Young_Control,1,65,49,1.44,2451.4168238886764,259.58352322058215,1,-1.4637750186537677
01,Young_Control,1,66,52,1.53,2484.7311502230746,306.3975995858274,3,-1.3835216410978295
01,Young_Control,1,67,62,1.83,2725.2930525398947,259.5318856382801,3,-1.4274591374203474
01,Young_Control,1,68,56,1.65,2123.4144411510647,219.0487594765653,2,-1.444947626633154
01,Young_Control,1,69,47,1.38,2987.985200022843,282.42355275441804,2,-1.3842243182269471
01,Young_Control,1,70,54,1.59,2744.742448957846,289.6127040195138,3,-1.3816362663246888
01,Young_Control,1,71,60,1.77,2376.3300369360422,238.44002719757995,4,-1.4234734817090653
01,Young_Control,1,72,58,1.71,2703.2901763920513,240.77067285535978,3,-1.403373283547613
01,Young_Control,1,73,60,1.77,2168.9731313329917,234.49217562722228,3,-1.4544297767873509
01,Young_Control,1,74,57,1.68,2113.7118483316917,244.29638869467433,2,-1.3801124681582915
01,Young_Control,1,75,74,2.19,2253.947155054388,188.9809607485383,2,-1.5991300792508454
01,Young_Control,1,76,60,1.77,2539.9584423546958,229.71714714274077,2,-1.416667882623621
01,Young_Control,1,77,69,2.04,2511.5842720393757,194.9082882541088,2,-1.6796944248446701
01,Young_Control,1,78,57,1.68,2620.1145013147802,249.78601203932215,2,-1.4950492341622306
01,Young_Control,1,79,60,1.77,2366.9013968102304,246.17635164173146,2,-1.380921062510478
01,Young_Control,1,80,64,1.89,2633.8079741022216,204.88300307618096,2,-1.3978570745674226
01,Young_Control,1,81,69,2.04,2807.3811442141014,225.22171184504236,4,-1.4250440657202261
01,Young_Control,1,82,63,1.86,2499.444382702327,223.60451608697034,2,-1.5512359982995088
01,Young_Control,1,83,77,2.28,1897.7325651653043,177.002210603033,2,-1.5187719706913527
01,Young_Control,1,84,77,2.28,2192.157739660984,186.4697629299224,3,-1.4620845151193296
01,Young_Control,1,85,60,1.77,2466.666666666666,248.18140307647755,3,-1.5865143150006213
01,Young_Control,1,86,87,2.58,2591.063702634712,184.08753035647482,3,-1.523113401694515
01,Young_Control,1,87,78,2.31,2254.6864773424973,203.00609923800383,5,-1.6417459755897905
01,Young_Control,1,88,77,2.28,2168.460795638744,208.23784077452694,4,-1.7460442513983194
01,Young_Control,1,89,70,2.07,2250.246900033667,204.33134365978322,4,-1.7935702349404927
01,Young_Control,1,90,80,2.37,2883.333333333334,179.38322588925362,4,-1.5014192015558916
02,Young_Control,1,1,67,1.98,1503.3296378372888,385.39721871525836,6,-1.9224033758042536
02,Young_Control,1,2,63,1.86,2941.749290624353,449.0546824905926,5,-1.612959347809554
02,Young_Control,1,3,66,1.95,1708.8820257050459,371.3873442149507,5,-1.550275148937573
02,Young_Control,1,4,62,1.83,2004.716660500653,403.71014727976535,4,-1.5405780233231194
02,Young_Control,1,5,63,1.86,2190.00253678189,399.1125094164113,5,-1.4672017971697262
02,Young_Control,1,6,56,1.65,2283.394159773754,438.2723670106079,2,-1.5100248860778285
02,Young_Control,1,7,60,1.77,2026.7653484747007,435.2265569270931,5,-1.6441725483388254
02,Young_Control,1,8,59,1.74,2724.426545165058,419.2654887211668,3,-1.6701688227513105
02,Young_Control,1,9,62,1.83,1966.6666666666679,390.8785539959847,3,-1.5159735871341888
02,Young_Control,1,10,65,1.92,2137.495938917524,415.98168277993136,5,-1.6113724550560191
02,Young_Control,1,11,69,2.04,2055.345334595731,343.15459248279024,3,-1.5425997170474388
02,Young_Control,1,12,69,2.04,2069.084607045132,356.14842572510366,2,-1.4748199907046748
02,Young_Control,1,13,70,2.07,1854.7985814577755,340.79781507886344,3,-1.4597091182181603
02,Young_Control,1,14,64,1.89,2170.5094128132932,368.5038894136405,3,-1.403181812100471
02,Young_Control,1,15,65,1.92,2383.566422168446,367.07923491292627,2,-1.4795924161132012
02,Young_Control,1,16,59,1.74,3568.885602599841,417.5722312162763,1,-1.3846795859942604
02,Young_Control,1,17,65,1.92,2887.9539085272418,373.01395740113287,2,-1.4032316343289741
02,Young_Control,1,18,67,1.98,3543.381937578215,380.36324953998377,5,-1.3936114869549856
02,Young_Control,1,19,64,1.89,2635.2313834736465,387.8300900103166,6,-1.7268768831530068
02,Young_Control,1,20,62,1.83,2882.3215951343395,458.8455162930024,5,-1.6289713090053943
02,Young_Control,1,21,85,2.52,2732.621858622636,312.4452180295243,5,-1.476772662200415
02,Young_Control,1,22,68,2.01,3883.3690985477483,462.609488158896,4,-1.5253262086429262
02,Young_Control,1,23,79,2.34,2657.5364531836585,311.8552515809706,2,-1.4738826021111522
